file_path,file_name,country,date,burned_area_ha,total_burned_pixels,max_burned_day,relative_path
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10238.nc,corrected_sample_10238.nc,Spain,2022-07-16,56961.0,491,456,2022/Spain/corrected_sample_10238.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10292.nc,corrected_sample_10292.nc,Spain,2022-06-15,48967.0,405,392,2022/Spain/corrected_sample_10292.nc
../data/raw/dataset_64_64_all_10days_final/2022/Portugal/corrected_sample_10631.nc,corrected_sample_10631.nc,Portugal,2022-08-05,45594.0,365,365,2022/Portugal/corrected_sample_10631.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10530.nc,corrected_sample_10530.nc,Spain,2022-07-14,38099.0,531,305,2022/Spain/corrected_sample_10530.nc
../data/raw/dataset_64_64_all_10days_final/2022/Romania/corrected_sample_10794.nc,corrected_sample_10794.nc,Romania,2022-03-21,31729.0,582,254,2022/Romania/corrected_sample_10794.nc
../data/raw/dataset_64_64_all_10days_final/2022/Romania/corrected_sample_9910.nc,corrected_sample_9910.nc,Romania,2022-03-21,30854.0,601,247,2022/Romania/corrected_sample_9910.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10274.nc,corrected_sample_10274.nc,Spain,2022-07-13,29730.0,323,238,2022/Spain/corrected_sample_10274.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10406.nc,corrected_sample_10406.nc,Spain,2022-07-14,28980.0,316,232,2022/Spain/corrected_sample_10406.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_9864.nc,corrected_sample_9864.nc,Spain,2022-07-14,28106.0,255,225,2022/Spain/corrected_sample_9864.nc
../data/raw/dataset_64_64_all_10days_final/2022/Algeria/corrected_sample_10723.nc,corrected_sample_10723.nc,Algeria,2022-08-16,28106.0,283,225,2022/Algeria/corrected_sample_10723.nc
../data/raw/dataset_64_64_all_10days_final/2022/Algeria/corrected_sample_10724.nc,corrected_sample_10724.nc,Algeria,2022-08-16,27981.0,275,224,2022/Algeria/corrected_sample_10724.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10529.nc,corrected_sample_10529.nc,Spain,2022-07-14,27856.0,419,223,2022/Spain/corrected_sample_10529.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_9984.nc,corrected_sample_9984.nc,Spain,2022-07-14,27356.0,464,238,2022/Spain/corrected_sample_9984.nc
../data/raw/dataset_64_64_all_10days_final/2022/Romania/corrected_sample_9881.nc,corrected_sample_9881.nc,Romania,2022-03-18,25608.0,427,205,2022/Romania/corrected_sample_9881.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10408.nc,corrected_sample_10408.nc,Spain,2022-07-17,25108.0,201,201,2022/Spain/corrected_sample_10408.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10492.nc,corrected_sample_10492.nc,Spain,2022-07-10,24359.0,195,195,2022/Spain/corrected_sample_10492.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10667.nc,corrected_sample_10667.nc,Spain,2022-08-14,24234.0,199,194,2022/Spain/corrected_sample_10667.nc
../data/raw/dataset_64_64_all_10days_final/2022/Romania/corrected_sample_10151.nc,corrected_sample_10151.nc,Romania,2022-03-18,24234.0,282,194,2022/Romania/corrected_sample_10151.nc
../data/raw/dataset_64_64_all_10days_final/2022/Algeria/corrected_sample_10722.nc,corrected_sample_10722.nc,Algeria,2022-08-16,22110.0,185,177,2022/Algeria/corrected_sample_10722.nc
../data/raw/dataset_64_64_all_10days_final/2022/Romania/corrected_sample_9876.nc,corrected_sample_9876.nc,Romania,2022-03-18,21361.0,516,239,2022/Romania/corrected_sample_9876.nc
../data/raw/dataset_64_64_all_10days_final/2022/France/corrected_sample_10386.nc,corrected_sample_10386.nc,France,2022-07-06,20861.0,167,167,2022/France/corrected_sample_10386.nc
../data/raw/dataset_64_64_all_10days_final/2022/Bosnia & Herzegovina/corrected_sample_9899.nc,corrected_sample_9899.nc,Bosnia & Herzegovina,2022-03-19,20111.0,289,161,2022/Bosnia & Herzegovina/corrected_sample_9899.nc
../data/raw/dataset_64_64_all_10days_final/2022/Bosnia & Herzegovina/corrected_sample_10073.nc,corrected_sample_10073.nc,Bosnia & Herzegovina,2022-03-20,18862.0,413,151,2022/Bosnia & Herzegovina/corrected_sample_10073.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10648.nc,corrected_sample_10648.nc,Spain,2022-08-12,18737.0,150,150,2022/Spain/corrected_sample_10648.nc
../data/raw/dataset_64_64_all_10days_final/2022/Portugal/corrected_sample_10407.nc,corrected_sample_10407.nc,Portugal,2022-07-06,18612.0,236,149,2022/Portugal/corrected_sample_10407.nc
../data/raw/dataset_64_64_all_10days_final/2022/Montenegro/corrected_sample_10799.nc,corrected_sample_10799.nc,Montenegro,2022-03-20,18487.0,538,148,2022/Montenegro/corrected_sample_10799.nc
../data/raw/dataset_64_64_all_10days_final/2022/Algeria/corrected_sample_10713.nc,corrected_sample_10713.nc,Algeria,2022-08-16,17988.0,221,144,2022/Algeria/corrected_sample_10713.nc
../data/raw/dataset_64_64_all_10days_final/2022/Spain/corrected_sample_10683.nc,corrected_sample_10683.nc,Spain,2022-08-12,17738.0,142,142,2022/Spain/corrected_sample_10683.nc
../data/raw/dataset_64_64_all_10days_final/2022/Morocco/corrected_sample_10426.nc,corrected_sample_10426.nc,Morocco,2022-07-12,17238.0,150,138,2022/Morocco/corrected_sample_10426.nc
../data/raw/dataset_64_64_all_10days_final/2022/Bosnia & Herzegovina/corrected_sample_10058.nc,corrected_sample_10058.nc,Bosnia & Herzegovina,2022-03-21,16864.0,428,135,2022/Bosnia & Herzegovina/corrected_sample_10058.nc
../data/raw/dataset_64_64_all_10days_final/2022/Portugal/corrected_sample_10377.nc,corrected_sample_10377.nc,Portugal,2022-07-16,16614.0,194,133,2022/Portugal/corrected_sample_10377.nc
